Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2014-06-07,18:00,Descentralizado,Torneo Apertura,Sat,Home,W,2,1,San Simón,,"1,877",,,,Fernando Legario,Match Report,,Juan Aurich
2014-06-14,16:00,Descentralizado,Torneo Apertura,Sat,Away,L,0,2,U César Vallejo,,"1,375",,,,Luis Garay Evia,Match Report,,Juan Aurich
2014-06-21,15:45,Descentralizado,Torneo Apertura,Sat,Home,W,2,1,León Huánuco,,"1,683",,,,Diego Haro,Match Report,,Juan Aurich
2014-06-29,16:00,Descentralizado,Torneo Apertura,Sun,Away,D,0,0,Alianza Lima,,"6,119",,,,Luis Garay Evia,Match Report,,Juan Aurich
2014-07-05,17:30,Descentralizado,Torneo Apertura,Sat,Home,W,6,0,Sport Huancayo,,"1,366",,,,Miguel Santiváñez,Match Report,,Juan Aurich
2014-07-13,11:00,Descentralizado,Torneo Apertura,Sun,Away,D,1,1,Cienciano,,"3,338",,,,Yovany Quevedo Guerra,Match Report,,Juan Aurich
2014-07-17,20:00,Descentralizado,Torneo Apertura,Thu,Home,L,3,4,Sporting Cristal,,"3,128",,,,Iván Chang,Match Report,,Juan Aurich
2014-07-20,18:15,Descentralizado,Torneo Apertura,Sun,Away,W,4,0,Los Caimanes,,531,,,,Luis Seminario,Match Report,,Juan Aurich
2014-07-26,20:00,Descentralizado,Torneo Apertura,Sat,Home,W,2,1,Unión Comercio,,"1,705",,,,Michael Espinoza,Match Report,,Juan Aurich
2014-07-30,15:45,Descentralizado,Torneo Apertura,Wed,Away,L,1,3,UTC,,"2,203",,,,Eduardo Chirinos,Match Report,,Juan Aurich
2014-08-09,15:30,Descentralizado,Torneo Apertura,Sat,Home,W,3,1,Melgar,,"2,051",,,,Miguel Santiváñez,Match Report,,Juan Aurich
2014-08-13,13:15,Descentralizado,Torneo Apertura,Wed,Away,D,2,2,Real Garcilaso,,"2,989",,,,Michael Espinoza,Match Report,,Juan Aurich
2014-08-17,18:15,Descentralizado,Torneo Apertura,Sun,Home,W,4,1,Ayacucho,,"3,425",,,,Manuel Garay,Match Report,,Juan Aurich
2014-08-24,15:00,Descentralizado,Torneo Apertura,Sun,Away,W,2,1,USMP,,"1,829",,,,Henry Gambetta,Match Report,,Juan Aurich
2014-08-30,15:30,Descentralizado,Torneo Apertura,Sat,Home,W,2,0,Universitario,,"17,213",,,,Víctor Carrillo,Match Report,,Juan Aurich
2014-09-07,11:15,Descentralizado,Torneo Clausura,Sun,Away,W,2,1,San Simón,,"2,538",,,,Miguel Santiváñez,Match Report,,Juan Aurich
2014-09-13,18:00,Descentralizado,Torneo Clausura,Sat,Home,L,1,2,U César Vallejo,,"1,976",,,,Fredy Arellanos,Match Report,,Juan Aurich
2014-09-20,15:00,Descentralizado,Torneo Clausura,Sat,Away,L,0,3,León Huánuco,,"2,810",,,,Diego Haro,Match Report,,Juan Aurich
2014-09-27,17:15,Descentralizado,Torneo Clausura,Sat,Home,D,0,0,Alianza Lima,,"5,362",,,,Michael Espinoza,Match Report,,Juan Aurich
2014-10-02,13:15,Descentralizado,Torneo Clausura,Thu,Away,W,1,0,Sport Huancayo,,604,,,,Roberto Mauro,Match Report,,Juan Aurich
2014-10-12,18:15,Descentralizado,Torneo Clausura,Sun,Home,W,1,0,Cienciano,,"1,412",,,,Jorge Panta,Match Report,,Juan Aurich
2014-10-17,15:30,Descentralizado,Torneo Clausura,Fri,Away,L,1,4,Sporting Cristal,,"3,588",,,,Manuel Garay,Match Report,,Juan Aurich
2014-10-21,18:15,Descentralizado,Torneo Clausura,Tue,Home,D,0,0,Los Caimanes,,"2,104",,,,Víctor Carrillo,Match Report,,Juan Aurich
2014-10-26,13:15,Descentralizado,Torneo Clausura,Sun,Away,L,0,1,Unión Comercio,,828,,,,Fredy Arellanos,Match Report,,Juan Aurich
2014-11-01,18:15,Descentralizado,Torneo Clausura,Sat,Home,W,2,0,UTC,,"1,511",,,,Eduardo Chirinos,Match Report,,Juan Aurich
2014-11-08,15:00,Descentralizado,Torneo Clausura,Sat,Away,D,1,1,Melgar,,"6,377",,,,Manuel Garay,Match Report,,Juan Aurich
2014-11-12,15:30,Descentralizado,Torneo Clausura,Wed,Home,W,1,0,Real Garcilaso,,"1,281",,,,Jorge Panta,Match Report,,Juan Aurich
2014-11-16,11:00,Descentralizado,Torneo Clausura,Sun,Away,L,1,3,Ayacucho,,"1,850",,,,Yovany Quevedo Guerra,Match Report,,Juan Aurich
2014-11-23,18:15,Descentralizado,Torneo Clausura,Sun,Home,D,1,1,USMP,,"1,416",,,,Henry Gambetta,Match Report,,Juan Aurich
2014-11-30,15:30,Descentralizado,Torneo Clausura,Sun,Away,L,1,3,Universitario,,"10,264",,,,Fredy Arellanos,Match Report,,Juan Aurich
2014-12-13,,Descentralizado,Championship play-off,Sat,Home,D,2,2,Sporting Cristal,,,,,,,Match Report,,Juan Aurich
2014-12-16,,Descentralizado,Championship play-off,Tue,Away,D,0,0,Sporting Cristal,,,,,,,Match Report,,Juan Aurich
2014-12-20,,Descentralizado,Championship play-off,Sat,Neutral,L,2,3,Sporting Cristal,,,,,,,Match Report,Required Extra Time,Juan Aurich
2014-06-07,20:10,Descentralizado,Torneo Apertura,Sat,Home,D,0,0,Cienciano,,"3,787",,,,Yovany Quevedo Guerra,Match Report,,Melgar
2014-06-14,13:15,Descentralizado,Torneo Apertura,Sat,Away,W,2,1,Sporting Cristal,,"2,545",,,,Diego Haro,Match Report,,Melgar
2014-06-21,11:00,Descentralizado,Torneo Apertura,Sat,Home,W,3,0,Los Caimanes,,"1,183",,,,Iván Chang,Match Report,,Melgar
2014-06-29,11:00,Descentralizado,Torneo Apertura,Sun,Away,W,2,0,Unión Comercio,,575,,,,Manuel Garay,Match Report,,Melgar
2014-07-05,12:30,Descentralizado,Torneo Apertura,Sat,Home,D,2,2,UTC,,"1,392",,,,Eduardo Chirinos,Match Report,,Melgar
2014-07-11,19:30,Descentralizado,Torneo Apertura,Fri,Home,D,1,1,León Huánuco,,"2,482",,,,Ramón Blanco,Match Report,,Melgar
2014-07-16,20:00,Descentralizado,Torneo Apertura,Wed,Away,W,2,1,Universitario,,"4,047",,,,Manuel Garay,Match Report,,Melgar
2014-07-21,15:30,Descentralizado,Torneo Apertura,Mon,Home,D,2,2,Ayacucho,,"3,908",,,,Iván Chang,Match Report,,Melgar
2014-07-25,11:00,Descentralizado,Torneo Apertura,Fri,Away,D,1,1,Real Garcilaso,,"1,809",,,,Renzo Castañeda,Match Report,,Melgar
2014-07-31,13:15,Descentralizado,Torneo Apertura,Thu,Home,W,2,1,USMP,,"3,815",,,,Diego Haro,Match Report,,Melgar
2014-08-09,15:30,Descentralizado,Torneo Apertura,Sat,Away,L,1,3,Juan Aurich,,"2,051",,,,Miguel Santiváñez,Match Report,,Melgar
2014-08-13,11:00,Descentralizado,Torneo Apertura,Wed,Home,W,2,1,U César Vallejo,,"4,058",,,,Roberto Mauro,Match Report,,Melgar
2014-08-17,11:00,Descentralizado,Torneo Apertura,Sun,Away,L,0,1,San Simón,,"3,183",,,,Henry Gambetta,Match Report,,Melgar
2014-08-24,15:00,Descentralizado,Torneo Apertura,Sun,Home,D,2,2,Sport Huancayo,,"8,792",,,,Fredy Arellanos,Match Report,,Melgar
2014-08-30,15:30,Descentralizado,Torneo Apertura,Sat,Away,D,1,1,Alianza Lima,,"5,555",,,,Luis Seminario,Match Report,,Melgar
2014-09-06,15:00,Descentralizado,Torneo Clausura,Sat,Away,W,2,0,Cienciano,,"4,238",,,,Víctor Carrillo,Match Report,,Melgar
2014-09-14,11:00,Descentralizado,Torneo Clausura,Sun,Home,W,1,0,Sporting Cristal,,"16,784",,,,Manuel Garay,Match Report,,Melgar
2014-09-21,13:15,Descentralizado,Torneo Clausura,Sun,Away,W,3,0,Los Caimanes,,108,,,,Luis Seminario,Match Report,,Melgar
2014-09-27,12:45,Descentralizado,Torneo Clausura,Sat,Home,W,1,0,Unión Comercio,,"6,745",,,,Ramón Blanco,Match Report,,Melgar
2014-10-02,15:45,Descentralizado,Torneo Clausura,Thu,Away,L,0,2,UTC,,"2,385",,,,Luis Garay Evia,Match Report,,Melgar
2014-10-12,13:15,Descentralizado,Torneo Clausura,Sun,Away,W,1,0,León Huánuco,,"2,082",,,,Manuel Garay,Match Report,,Melgar
2014-10-18,12:45,Descentralizado,Torneo Clausura,Sat,Home,D,1,1,Universitario,,"30,584",,,,Luis Seminario,Match Report,,Melgar
2014-10-22,13:15,Descentralizado,Torneo Clausura,Wed,Away,L,0,2,Ayacucho,,"1,527",,,,Michael Espinoza,Match Report,,Melgar
2014-10-26,11:00,Descentralizado,Torneo Clausura,Sun,Home,D,2,2,Real Garcilaso,,"5,236",,,,Iván Chang,Match Report,,Melgar
2014-11-01,15:00,Descentralizado,Torneo Clausura,Sat,Away,W,2,0,USMP,,591,,,,Fredy Arellanos,Match Report,,Melgar
2014-11-08,15:00,Descentralizado,Torneo Clausura,Sat,Home,D,1,1,Juan Aurich,,"6,377",,,,Manuel Garay,Match Report,,Melgar
2014-11-12,17:45,Descentralizado,Torneo Clausura,Wed,Away,W,2,1,U César Vallejo,,"1,399",,,,Luis Seminario,Match Report,,Melgar
2014-11-17,15:30,Descentralizado,Torneo Clausura,Mon,Home,W,2,1,San Simón,,"3,471",,,,Víctor Carrillo,Match Report,,Melgar
2014-11-22,15:00,Descentralizado,Torneo Clausura,Sat,Away,L,1,3,Sport Huancayo,,"1,153",,,,Fredy Arellanos,Match Report,,Melgar
2014-11-30,15:30,Descentralizado,Torneo Clausura,Sun,Home,L,2,3,Alianza Lima,,"22,236",Ysrael Zúñiga,,,Víctor Carrillo,Match Report,,Melgar
2014-06-07,15:45,Descentralizado,Torneo Apertura,Sat,Away,D,1,1,USMP,,446,,,,Luis Seminario,Match Report,,Universidad Cesar Vallejo
2014-06-14,16:00,Descentralizado,Torneo Apertura,Sat,Home,W,2,0,Juan Aurich,,"1,375",,,,Luis Garay Evia,Match Report,,Universidad Cesar Vallejo
2014-06-22,13:30,Descentralizado,Torneo Apertura,Sun,Away,L,1,2,San Simón,,"1,328",,,,Ramón Blanco,Match Report,,Universidad Cesar Vallejo
2014-06-28,13:15,Descentralizado,Torneo Apertura,Sat,Home,W,3,0,UTC,,843,,,,Diego Haro,Match Report,,Universidad Cesar Vallejo
2014-07-05,20:00,Descentralizado,Torneo Apertura,Sat,Home,W,3,1,León Huánuco,,914,,,,Fernando Legario,Match Report,,Universidad Cesar Vallejo
2014-07-12,20:10,Descentralizado,Torneo Apertura,Sat,Away,D,0,0,Alianza Lima,,"4,385",,,,Renzo Castañeda,Match Report,,Universidad Cesar Vallejo
2014-07-16,17:45,Descentralizado,Torneo Apertura,Wed,Home,W,2,0,Sport Huancayo,,"1,131",,,,Fredy Arellanos,Match Report,,Universidad Cesar Vallejo
2014-07-20,12:00,Descentralizado,Torneo Apertura,Sun,Away,L,0,2,Cienciano,,"4,108",,,,Luis Garay Evia,Match Report,,Universidad Cesar Vallejo
2014-07-26,17:30,Descentralizado,Torneo Apertura,Sat,Home,W,3,2,Sporting Cristal,,"9,822",,,,Diego Haro,Match Report,,Universidad Cesar Vallejo
2014-07-30,13:15,Descentralizado,Torneo Apertura,Wed,Away,L,0,1,Los Caimanes,,158,,,,Luis Garay Evia,Match Report,,Universidad Cesar Vallejo
2014-08-09,17:45,Descentralizado,Torneo Apertura,Sat,Home,W,1,0,Unión Comercio,,"1,486",,,,Yovany Quevedo Guerra,Match Report,,Universidad Cesar Vallejo
2014-08-13,11:00,Descentralizado,Torneo Apertura,Wed,Away,L,1,2,Melgar,,"4,058",,,,Roberto Mauro,Match Report,,Universidad Cesar Vallejo
2014-08-16,20:00,Descentralizado,Torneo Apertura,Sat,Home,L,1,2,Universitario,,"16,517",,,,Víctor Carrillo,Match Report,,Universidad Cesar Vallejo
2014-08-21,19:50,Sudamericana,First stage,Thu,Away,W,2,1,coMillonarios,,,,,,José Argote,Match Report,Leg 1 of 2,Universidad Cesar Vallejo
2014-08-24,15:00,Descentralizado,Torneo Apertura,Sun,Away,D,3,3,Ayacucho,,313,,,,Iván Chang,Match Report,,Universidad Cesar Vallejo
2014-08-28,17:30,Sudamericana,First stage,Thu,Home,D,2,2,coMillonarios,,,,,,Carlos Ulloa,Match Report,Leg 2 of 2; U César Vallejo won,Universidad Cesar Vallejo
2014-08-30,15:30,Descentralizado,Torneo Apertura,Sat,Home,W,2,0,Real Garcilaso,,820,,,,Ramón Blanco,Match Report,,Universidad Cesar Vallejo
2014-09-13,18:00,Descentralizado,Torneo Clausura,Sat,Away,W,2,1,Juan Aurich,,"1,976",,,,Fredy Arellanos,Match Report,,Universidad Cesar Vallejo
2014-09-17,18:00,Sudamericana,Second stage,Wed,Away,D,2,2,boUniversitario,,,,,,Péricles Bassols Pegado Cortez,Match Report,Leg 1 of 2,Universidad Cesar Vallejo
2014-09-20,17:30,Descentralizado,Torneo Clausura,Sat,Home,W,2,0,San Simón,,"1,087",,,,Luis Garay Evia,Match Report,,Universidad Cesar Vallejo
2014-09-23,17:00,Sudamericana,Second stage,Tue,Home,W,3,0,boUniversitario,,,,,,Adrián Vélez,Match Report,Leg 2 of 2; U César Vallejo won,Universidad Cesar Vallejo
2014-09-26,15:45,Descentralizado,Torneo Clausura,Fri,Away,L,0,1,UTC,,"1,279",,,,Henry Gambetta,Match Report,,Universidad Cesar Vallejo
2014-10-01,19:30,Sudamericana,Round of 16,Wed,Away,L,0,2,brBahia,,,,,,Carlos Amarilla,Match Report,Leg 1 of 2,Universidad Cesar Vallejo
2014-10-11,20:00,Descentralizado,Torneo Clausura,Sat,Home,D,2,2,Alianza Lima,,"7,238",,,,Luis Seminario,Match Report,,Universidad Cesar Vallejo
2014-10-15,20:00,Sudamericana,Round of 16,Wed,Home,W,2(7),0(6),brBahia,,,,,,Carlos Vera,Match Report,Leg 2 of 2; U César Vallejo won; U César Vallejo won on penalty kicks following extra time,Universidad Cesar Vallejo
2014-10-19,13:15,Descentralizado,Torneo Clausura,Sun,Away,L,1,3,Sport Huancayo,,783,,,,Miguel Santiváñez,Match Report,,Universidad Cesar Vallejo
2014-10-22,17:45,Descentralizado,Torneo Clausura,Wed,Home,W,3,2,Cienciano,,"1,199",,,,Renzo Castañeda,Match Report,,Universidad Cesar Vallejo
2014-10-25,15:00,Descentralizado,Torneo Clausura,Sat,Away,L,1,4,Sporting Cristal,,"3,873",,,,Roberto Mauro,Match Report,,Universidad Cesar Vallejo
2014-10-29,20:30,Sudamericana,Quarter-finals,Wed,Away,L,0,1,coNacional,,,,,,Heber Roberto Lopes,Match Report,Leg 1 of 2,Universidad Cesar Vallejo
2014-11-01,20:30,Descentralizado,Torneo Clausura,Sat,Home,L,2,3,Los Caimanes,,"1,028",,,,Yovany Quevedo Guerra,Match Report,,Universidad Cesar Vallejo
2014-11-05,21:30,Sudamericana,Quarter-finals,Wed,Home,L,0,1,coNacional,,,,,,Mauro Vigliano,Match Report,Leg 2 of 2; Nacional won,Universidad Cesar Vallejo
2014-11-08,12:30,Descentralizado,Torneo Clausura,Sat,Away,L,1,2,Unión Comercio,,439,,,,Víctor Carrillo,Match Report,,Universidad Cesar Vallejo
2014-11-12,17:45,Descentralizado,Torneo Clausura,Wed,Home,L,1,2,Melgar,,"1,399",,,,Luis Seminario,Match Report,,Universidad Cesar Vallejo
2014-11-16,16:00,Descentralizado,Torneo Clausura,Sun,Away,W,2,1,Universitario,,"5,693",,,,Luis Garay Evia,Match Report,,Universidad Cesar Vallejo
2014-11-20,15:30,Descentralizado,Torneo Clausura,Thu,Home,W,1,0,USMP,,"1,186",,,,Michael Espinoza,Match Report,,Universidad Cesar Vallejo
2014-11-22,20:00,Descentralizado,Torneo Clausura,Sat,Home,W,3,0,Ayacucho,,"1,212",,,,Miguel Santiváñez,Match Report,,Universidad Cesar Vallejo
2014-11-26,15:30,Descentralizado,Torneo Clausura,Wed,Away,L,0,1,León Huánuco,,"7,590",,,,Luis Seminario,Match Report,,Universidad Cesar Vallejo
2014-11-30,15:30,Descentralizado,Torneo Clausura,Sun,Away,L,1,2,Real Garcilaso,,"1,624",Salomón Libman,,,Renzo Castañeda,Match Report,,Universidad Cesar Vallejo
2014-02-11,21:30,Libertadores,Second stage,Tue,Home,L,0,1,arVélez Sarsfield,,"37,500",,,,Roddy Zambrano,Match Report,,Universitario
2014-02-20,21:15,Libertadores,Second stage,Thu,Away,L,0,1,boThe Strongest,,"25,000",,,,Julio Quintana,Match Report,,Universitario
2014-03-13,21:30,Libertadores,Second stage,Thu,Home,L,0,1,brAth Paranaense,,,,,,Ímer Machado,Match Report,,Universitario
2014-03-20,17:30,Libertadores,Second stage,Thu,Away,L,0,3,brAth Paranaense,,,,,,Patricio Polic,Match Report,,Universitario
2014-03-27,23:00,Libertadores,Second stage,Thu,Home,D,3,3,boThe Strongest,,,,,,Hernando Buitrago,Match Report,,Universitario
2014-04-08,18:45,Libertadores,Second stage,Tue,Away,L,0,1,arVélez Sarsfield,,,,,,Carlos Ulloa,Match Report,,Universitario
2014-06-08,16:00,Descentralizado,Torneo Apertura,Sun,Home,W,3,0,Sport Huancayo,,"3,526",,,,Diego Haro,Match Report,,Universitario
2014-06-15,13:15,Descentralizado,Torneo Apertura,Sun,Away,W,2,1,Cienciano,,"10,831",,,,Luis Seminario,Match Report,,Universitario
2014-06-22,16:00,Descentralizado,Torneo Apertura,Sun,Home,D,0,0,Sporting Cristal,,"14,222",,,,Henry Gambetta,Match Report,,Universitario
2014-06-29,18:15,Descentralizado,Torneo Apertura,Sun,Away,W,4,2,Los Caimanes,,"1,313",,,,Miguel Santiváñez,Match Report,,Universitario
2014-07-06,16:00,Descentralizado,Torneo Apertura,Sun,Home,D,0,0,Unión Comercio,,"7,340",,,,Iván Chang,Match Report,,Universitario
2014-07-12,15:45,Descentralizado,Torneo Apertura,Sat,Away,L,1,2,UTC,,"3,500",,,,Miguel Santiváñez,Match Report,,Universitario
2014-07-16,20:00,Descentralizado,Torneo Apertura,Wed,Home,L,1,2,Melgar,,"4,047",,,,Manuel Garay,Match Report,,Universitario
2014-07-19,20:00,Descentralizado,Torneo Apertura,Sat,Home,W,1,0,Alianza Lima,,"11,901",,,,Víctor Carrillo,Match Report,,Universitario
2014-07-27,15:30,Descentralizado,Torneo Apertura,Sun,Away,L,0,2,Ayacucho,,"7,286",,,,Henry Gambetta,Match Report,,Universitario
2014-07-30,20:00,Descentralizado,Torneo Apertura,Wed,Home,W,2,1,Real Garcilaso,,"5,514",,,,Iván Chang,Match Report,,Universitario
2014-08-09,20:00,Descentralizado,Torneo Apertura,Sat,Away,D,3,3,USMP,,"2,400",,,,Michael Espinoza,Match Report,,Universitario
2014-08-13,20:00,Descentralizado,Torneo Apertura,Wed,Home,W,1,0,San Simón,,"7,862",,,,Fernando Legario,Match Report,,Universitario
2014-08-16,20:00,Descentralizado,Torneo Apertura,Sat,Away,W,2,1,U César Vallejo,,"16,517",,,,Víctor Carrillo,Match Report,,Universitario
2014-08-24,15:00,Descentralizado,Torneo Apertura,Sun,Home,L,1,2,León Huánuco,,"28,906",,,,Manuel Garay,Match Report,,Universitario
2014-08-30,15:30,Descentralizado,Torneo Apertura,Sat,Away,L,0,2,Juan Aurich,,"17,213",,,,Víctor Carrillo,Match Report,,Universitario
2014-09-07,13:30,Descentralizado,Torneo Clausura,Sun,Away,W,1,0,Sport Huancayo,,"5,270",,,,Fredy Arellanos,Match Report,,Universitario
2014-09-14,16:00,Descentralizado,Torneo Clausura,Sun,Home,W,2,0,Cienciano,,"5,597",,,,Ramón Blanco,Match Report,,Universitario
2014-09-24,20:00,Descentralizado,Torneo Clausura,Wed,Away,L,0,3,Sporting Cristal,,"25,072",,,,Fredy Arellanos,Match Report,,Universitario
2014-09-28,16:00,Descentralizado,Torneo Clausura,Sun,Home,W,1,0,Los Caimanes,,"1,901",,,,Víctor Carrillo,Match Report,,Universitario
2014-10-01,13:15,Descentralizado,Torneo Clausura,Wed,Away,L,0,2,Unión Comercio,,"1,823",,,,Henry Gambetta,Match Report,,Universitario
2014-10-12,16:00,Descentralizado,Torneo Clausura,Sun,Home,W,3,0,UTC,,"4,415",,,,Renzo Castañeda,Match Report,,Universitario
2014-10-18,12:45,Descentralizado,Torneo Clausura,Sat,Away,D,1,1,Melgar,,"30,584",,,,Luis Seminario,Match Report,,Universitario
2014-10-22,20:00,Descentralizado,Torneo Clausura,Wed,Away,L,0,1,Alianza Lima,,"20,334",,,,Manuel Garay,Match Report,,Universitario
2014-10-26,16:00,Descentralizado,Torneo Clausura,Sun,Home,D,1,1,Ayacucho,,"6,404",,,,Fernando Legario,Match Report,,Universitario
2014-11-01,12:45,Descentralizado,Torneo Clausura,Sat,Away,L,0,2,Real Garcilaso,,"5,110",,,,Diego Haro,Match Report,,Universitario
2014-11-09,16:00,Descentralizado,Torneo Clausura,Sun,Home,W,3,1,USMP,,"6,833",,,,Iván Chang,Match Report,,Universitario
2014-11-13,13:15,Descentralizado,Torneo Clausura,Thu,Away,D,1,1,San Simón,,"2,144",,,,Fredy Arellanos,Match Report,,Universitario
2014-11-16,16:00,Descentralizado,Torneo Clausura,Sun,Home,L,1,2,U César Vallejo,,"5,693",,,,Luis Garay Evia,Match Report,,Universitario
2014-11-23,13:15,Descentralizado,Torneo Clausura,Sun,Away,L,0,2,León Huánuco,,"7,090",,,,Renzo Castañeda,Match Report,,Universitario
2014-11-30,15:30,Descentralizado,Torneo Clausura,Sun,Home,W,3,1,Juan Aurich,,"10,264",,,,Fredy Arellanos,Match Report,,Universitario
2014-06-08,13:15,Descentralizado,Torneo Apertura,Sun,Home,D,1,1,Alianza Lima,,"5,880",,,,Fredy Arellanos,Match Report,,Ayacucho
2014-06-14,11:00,Descentralizado,Torneo Apertura,Sat,Away,W,3,1,Sport Huancayo,,376,,,,Renzo Castañeda,Match Report,,Ayacucho
2014-06-21,13:15,Descentralizado,Torneo Apertura,Sat,Home,W,3,1,Cienciano,,"1,277",,,,Manuel Garay,Match Report,,Ayacucho
2014-06-28,11:00,Descentralizado,Torneo Apertura,Sat,Away,L,0,3,Sporting Cristal,,"2,167",,,,Fredy Arellanos,Match Report,,Ayacucho
2014-07-06,11:00,Descentralizado,Torneo Apertura,Sun,Home,W,2,1,Los Caimanes,,831,,,,Diego Haro,Match Report,,Ayacucho
2014-07-11,13:15,Descentralizado,Torneo Apertura,Fri,Away,W,1,0,Unión Comercio,,372,,,,Luis Seminario,Match Report,,Ayacucho
2014-07-16,13:15,Descentralizado,Torneo Apertura,Wed,Home,D,1,1,UTC,,"1,778",,,,Michael Espinoza,Match Report,,Ayacucho
2014-07-21,15:30,Descentralizado,Torneo Apertura,Mon,Away,D,2,2,Melgar,,"3,908",,,,Iván Chang,Match Report,,Ayacucho
2014-07-27,15:30,Descentralizado,Torneo Apertura,Sun,Home,W,2,0,Universitario,,"7,286",,,,Henry Gambetta,Match Report,,Ayacucho
2014-08-03,13:15,Descentralizado,Torneo Apertura,Sun,Home,W,3,2,San Simón,,"2,787",,,,Jorge Panta,Match Report,,Ayacucho
2014-08-10,11:15,Descentralizado,Torneo Apertura,Sun,Away,L,0,3,Real Garcilaso,,"2,468",,,,Eduardo Chirinos,Match Report,,Ayacucho
2014-08-13,15:30,Descentralizado,Torneo Apertura,Wed,Home,L,2,4,USMP,,"2,989",,,,Luis Seminario,Match Report,,Ayacucho
2014-08-17,18:15,Descentralizado,Torneo Apertura,Sun,Away,L,1,4,Juan Aurich,,"3,425",,,,Manuel Garay,Match Report,,Ayacucho
2014-08-21,13:00,Sudamericana,First stage,Thu,Home,L,0,1,veCaracas FC,,,,,,Diego Lara,Match Report,Leg 1 of 2,Ayacucho
2014-08-24,15:00,Descentralizado,Torneo Apertura,Sun,Home,D,3,3,U César Vallejo,,313,,,,Iván Chang,Match Report,,Ayacucho
2014-08-28,18:00,Sudamericana,First stage,Thu,Away,L,0,1,veCaracas FC,,,,,,Luis Sánchez,Match Report,Leg 2 of 2; Caracas FC won,Ayacucho
2014-08-31,15:30,Descentralizado,Torneo Apertura,Sun,Away,D,1,1,León Huánuco,,"1,634",,,,Romel López,Match Report,,Ayacucho
2014-09-13,12:45,Descentralizado,Torneo Clausura,Sat,Home,D,1,1,Sport Huancayo,,251,,,,Roberto Mauro,Match Report,,Ayacucho
2014-09-17,19:00,Descentralizado,Torneo Clausura,Wed,Away,L,1,2,Alianza Lima,,"3,061",,,,Eduardo Chirinos,Match Report,,Ayacucho
2014-09-21,11:00,Descentralizado,Torneo Clausura,Sun,Away,D,0,0,Cienciano,,"2,296",,,,Miguel Santiváñez,Match Report,,Ayacucho
2014-09-28,13:30,Descentralizado,Torneo Clausura,Sun,Home,D,3,3,Sporting Cristal,,"3,237",,,,Renzo Castañeda,Match Report,,Ayacucho
2014-10-01,11:00,Descentralizado,Torneo Clausura,Wed,Away,D,0,0,Los Caimanes,,63,,,,Diego Haro,Match Report,,Ayacucho
2014-10-11,12:15,Descentralizado,Torneo Clausura,Sat,Home,L,1,2,Unión Comercio,,"1,042",,,,Fernando Legario,Match Report,,Ayacucho
2014-10-16,15:45,Descentralizado,Torneo Clausura,Thu,Away,W,1,0,UTC,,"1,300",,,,Fredy Arellanos,Match Report,,Ayacucho
2014-10-22,13:15,Descentralizado,Torneo Clausura,Wed,Home,W,2,0,Melgar,,"1,527",,,,Michael Espinoza,Match Report,,Ayacucho
2014-10-26,16:00,Descentralizado,Torneo Clausura,Sun,Away,D,1,1,Universitario,,"6,404",,,,Fernando Legario,Match Report,,Ayacucho
2014-11-01,10:30,Descentralizado,Torneo Clausura,Sat,Away,L,0,1,San Simón,,"1,663",,,,Manuel Garay,Match Report,,Ayacucho
2014-11-09,13:15,Descentralizado,Torneo Clausura,Sun,Home,W,2,1,Real Garcilaso,,"1,755",,,,Renzo Castañeda,Match Report,,Ayacucho
2014-11-16,11:00,Descentralizado,Torneo Clausura,Sun,Home,W,3,1,Juan Aurich,,"1,850",,,,Yovany Quevedo Guerra,Match Report,,Ayacucho
2014-11-22,20:00,Descentralizado,Torneo Clausura,Sat,Away,L,0,3,U César Vallejo,,"1,212",,,,Miguel Santiváñez,Match Report,,Ayacucho
2014-11-26,15:00,Descentralizado,Torneo Clausura,Wed,Away,L,1,2,USMP,,292,,,,Roberto Mauro,Match Report,,Ayacucho
2014-11-30,15:30,Descentralizado,Torneo Clausura,Sun,Home,W,5,2,León Huánuco,,"1,514",,,,Eduardo Chirinos,Match Report,,Ayacucho
2014-06-07,11:30,Descentralizado,Torneo Apertura,Sat,Away,L,1,3,Real Garcilaso,,801,,,,Ramón Blanco,Match Report,,Leon de Huanuco
2014-06-15,11:00,Descentralizado,Torneo Apertura,Sun,Home,D,1,1,USMP,,"1,108",,,,Manuel Garay,Match Report,,Leon de Huanuco
2014-06-21,15:45,Descentralizado,Torneo Apertura,Sat,Away,L,1,2,Juan Aurich,,"1,683",,,,Diego Haro,Match Report,,Leon de Huanuco
2014-06-27,13:00,Descentralizado,Torneo Apertura,Fri,Home,W,4,0,San Simón,,744,,,,Yovany Quevedo Guerra,Match Report,,Leon de Huanuco
2014-07-05,20:00,Descentralizado,Torneo Apertura,Sat,Away,L,1,3,U César Vallejo,,914,,,,Fernando Legario,Match Report,,Leon de Huanuco
2014-07-11,19:30,Descentralizado,Torneo Apertura,Fri,Away,D,1,1,Melgar,,"2,482",,,,Ramón Blanco,Match Report,,Leon de Huanuco
2014-07-16,15:30,Descentralizado,Torneo Apertura,Wed,Home,W,1,0,Alianza Lima,,764,,,,Eduardo Chirinos,Match Report,,Leon de Huanuco
